zm_id,zm,cae_id,cae,ue,rca,mcp,diversity,ubiquity,density,distance,eci,pci,coi,cog
01.1.01,Zona metropolitana de Aguascalientes,112513,Camaronicultura y acuicultura de otros crustáceos en agua salada,0,0,0,452,2,0.471671897,0.528328103,0.740505276,-0.003626556,-1.796966278,-0.001716381
01.1.01,Zona metropolitana de Aguascalientes,112514,Camaronicultura y acuicultura de otros crustáceos en agua dulce,0,0,0,452,2,0.400729035,0.599270965,0.740505276,0.107789711,-1.796966278,0.030399777
01.1.01,Zona metropolitana de Aguascalientes,112515,Piscicultura en agua dulce,4,0.6503815,0,452,14,0.486297164,0.513702836,0.740505276,-0.481017787,-1.796966278,-0.056830592
01.1.01,Zona metropolitana de Aguascalientes,112516,Piscicultura en agua salada,0,0,0,452,5,0.419623165,0.580376835,0.740505276,-0.166680833,-1.796966278,-0.025703486
01.1.01,Zona metropolitana de Aguascalientes,112519,Otra acuicultura,1,0.526134091,0,452,4,0.453287727,0.546712273,0.740505276,-0.078956882,-1.796966278,-0.013792725
01.1.01,Zona metropolitana de Aguascalientes,114111,Pesca de camarón ,0,0,0,452,5,0.422479642,0.577520358,0.740505276,-0.010582114,-1.796966278,-0.007901023
01.1.01,Zona metropolitana de Aguascalientes,114112,Pesca de túnidos ,0,0,0,452,2,0.448221323,0.551778677,0.740505276,-0.063750429,-1.796966278,-0.011458208
01.1.01,Zona metropolitana de Aguascalientes,114113,Pesca de sardina y anchoveta ,0,0,0,452,3,0.489016771,0.510983229,0.740505276,0.031563526,-1.796966278,0.004217871
01.1.01,Zona metropolitana de Aguascalientes,114119,"Pesca y captura de otros peces, crustáceos, moluscos y otras especies ",13,0.409611738,0,452,11,0.473869948,0.526130052,0.740505276,-0.136337702,-1.796966278,-0.02118177
01.1.01,Zona metropolitana de Aguascalientes,115111,Servicios de fumigación agrícola ,9,3.280600801,1,452,23,0.572930547,0.427069453,0.740505276,0.187465982,-1.796966278,-0.005754814
01.1.01,Zona metropolitana de Aguascalientes,115112,Despepite de algodón ,0,0,0,452,4,0.454600255,0.545399745,0.740505276,0.147991272,-1.796966278,0.027143562
01.1.01,Zona metropolitana de Aguascalientes,115113,Beneficio de productos agrícolas ,2,1.052268182,1,452,20,0.575395169,0.424604831,0.740505276,-0.307097051,-1.796966278,-0.044504013
01.1.01,Zona metropolitana de Aguascalientes,115119,Otros servicios relacionados con la agricultura ,1,1.23933808,1,452,18,0.56052069,0.43947931,0.740505276,0.236201478,-1.796966278,0.004823171
01.1.01,Zona metropolitana de Aguascalientes,115210,Servicios relacionados con la cría y explotación de animales ,3,3.802514565,1,452,18,0.561363167,0.438636833,0.740505276,0.093081382,-1.796966278,-0.003062928
01.1.01,Zona metropolitana de Aguascalientes,115310,Servicios relacionados con el aprovechamiento forestal ,0,0,0,452,6,0.480716327,0.519283673,0.740505276,0.047287707,-1.796966278,0.010310671
01.1.01,Zona metropolitana de Aguascalientes,211111,Extracción de petróleo y gas natural asociado ,0,0,0,452,5,0.437638079,0.562361921,0.740505276,0.065057699,-1.796966278,0.005668433
01.1.01,Zona metropolitana de Aguascalientes,211112,Extracción de gas natural no asociado ,0,0,0,452,2,0.314889795,0.685110205,0.740505276,0.065173405,-1.796966278,0.016701553
01.1.01,Zona metropolitana de Aguascalientes,212110,Minería de carbón mineral ,0,0,0,452,4,0.466415442,0.533584558,0.740505276,0.288170447,-1.796966278,0.051140972
01.1.01,Zona metropolitana de Aguascalientes,212210,Minería de hierro ,0,0,0,452,2,0.436700933,0.563299067,0.740505276,0.065996713,-1.796966278,0.018845532
01.1.01,Zona metropolitana de Aguascalientes,212221,Minería de oro ,0,0,0,452,5,0.505792333,0.494207667,0.740505276,-0.009771849,-1.796966278,0.001734422
01.1.01,Zona metropolitana de Aguascalientes,212222,Minería de plata ,0,0,0,452,6,0.467976748,0.532023252,0.740505276,0.178173596,-1.796966278,0.033565073
01.1.01,Zona metropolitana de Aguascalientes,212231,Minería de cobre ,0,0,0,452,5,0.509311197,0.490688803,0.740505276,0.212532495,-1.796966278,0.035268653
01.1.01,Zona metropolitana de Aguascalientes,212232,Minería de plomo y zinc ,0,0,0,452,4,0.448454799,0.551545201,0.740505276,0.278268893,-1.796966278,0.055651139
01.1.01,Zona metropolitana de Aguascalientes,212299,Minería de otros minerales metálicos ,0,0,0,452,1,0.483460515,0.516539485,0.740505276,-0.004301769,-1.796966278,-0.001548548
01.1.01,Zona metropolitana de Aguascalientes,212311,Minería de piedra caliza ,0,0,0,452,13,0.516033978,0.483966022,0.740505276,0.022021602,-1.796966278,0.001996707
01.1.01,Zona metropolitana de Aguascalientes,212312,Minería de mármol ,0,0,0,452,4,0.465758542,0.534241458,0.740505276,-0.08140327,-1.796966278,-0.007912346
01.1.01,Zona metropolitana de Aguascalientes,212319,Minería de otras piedras dimensionadas ,1,0.563335491,0,452,6,0.468611686,0.531388314,0.740505276,-0.1532723,-1.796966278,-0.015244903
01.1.01,Zona metropolitana de Aguascalientes,212321,Minería de arena y grava para la construcción ,4,1.057255235,1,452,25,0.575216663,0.424783337,0.740505276,-0.373541987,-1.796966278,-0.04757444
01.1.01,Zona metropolitana de Aguascalientes,212322,Minería de tezontle y tepetate ,0,0,0,452,7,0.49501277,0.50498723,0.740505276,-0.068516203,-1.796966278,-0.010924056
01.1.01,Zona metropolitana de Aguascalientes,212323,Minería de feldespato ,0,0,0,452,1,0.375111471,0.624888529,0.740505276,0.162003336,-1.796966278,0.041976801
01.1.01,Zona metropolitana de Aguascalientes,212324,Minería de sílice ,0,0,0,452,6,0.476426667,0.523573333,0.740505276,0.082260137,-1.796966278,0.014804368
01.1.01,Zona metropolitana de Aguascalientes,212325,Minería de caolín ,0,0,0,452,5,0.458593223,0.541406777,0.740505276,0.245097843,-1.796966278,0.050046844
01.1.01,Zona metropolitana de Aguascalientes,212329,Minería de otras arcillas y de otros minerales refractarios ,0,0,0,452,7,0.479559682,0.520440318,0.740505276,-0.25733438,-1.796966278,-0.035292698
01.1.01,Zona metropolitana de Aguascalientes,212391,Minería de sal ,0,0,0,452,2,0.440938083,0.559061917,0.740505276,0.01669302,-1.796966278,0.004288999
01.1.01,Zona metropolitana de Aguascalientes,212392,Minería de piedra de yeso ,0,0,0,452,4,0.472326909,0.527673091,0.740505276,0.231765349,-1.796966278,0.045254469
01.1.01,Zona metropolitana de Aguascalientes,212393,Minería de barita ,0,0,0,452,5,0.473741019,0.526258981,0.740505276,0.254947537,-1.796966278,0.045675957
01.1.01,Zona metropolitana de Aguascalientes,212394,Minería de roca fosfórica ,0,0,0,452,2,0.452371403,0.547628597,0.740505276,-0.052604083,-1.796966278,-0.006416095
01.1.01,Zona metropolitana de Aguascalientes,212395,Minería de fluorita ,0,0,0,452,2,0.489325902,0.510674098,0.740505276,0.085271604,-1.796966278,0.015489836
01.1.01,Zona metropolitana de Aguascalientes,212396,Minería de grafito ,0,0,0,452,1,0.477806656,0.522193344,0.740505276,0.042897797,-1.796966278,0.008173267
01.1.01,Zona metropolitana de Aguascalientes,212398,Minería de minerales no metálicos para productos químicos ,0,0,0,452,2,0.293081199,0.706918801,0.740505276,-0.111834781,-1.796966278,-0.016046788
01.1.01,Zona metropolitana de Aguascalientes,212399,Minería de otros minerales no metálicos ,0,0,0,452,3,0.36435784,0.63564216,0.740505276,0.141368667,-1.796966278,0.030957069
01.1.01,Zona metropolitana de Aguascalientes,213111,Perforación de pozos petroleros y de gas ,0,0,0,452,7,0.473966831,0.526033169,0.740505276,0.124447964,-1.796966278,0.013732869
01.1.01,Zona metropolitana de Aguascalientes,213119,Otros servicios relacionados con la minería ,3,2.655724458,1,452,12,0.577009344,0.422990656,0.740505276,0.194893415,-1.796966278,0.01842541
01.1.01,Zona metropolitana de Aguascalientes,221111,Generación de electricidad a partir de combustibles fósiles ,2,0.878271081,0,452,25,0.522567902,0.477432098,0.740505276,-0.1123488,-1.796966278,-0.030491647
01.1.01,Zona metropolitana de Aguascalientes,221112,Generación de electricidad a partir de energía hidráulica ,0,0,0,452,2,0.258880908,0.741119092,0.740505276,-0.081625051,-1.796966278,-0.010783154
01.1.01,Zona metropolitana de Aguascalientes,221113,Generación de electricidad a partir de energía solar ,0,0,0,452,3,0.374919355,0.625080645,0.740505276,0.188044244,-1.796966278,0.04013294
01.1.01,Zona metropolitana de Aguascalientes,221114,Generación de electricidad a partir de energía eólica ,0,0,0,452,7,0.453521636,0.546478364,0.740505276,0.285185512,-1.796966278,0.038999905
01.1.01,Zona metropolitana de Aguascalientes,221119,Generación de electricidad a partir de otro tipo de energía ,0,0,0,452,3,0.350676755,0.649323245,0.740505276,0.131209012,-1.796966278,0.030141203
01.1.01,Zona metropolitana de Aguascalientes,221121,Transmisión de energía eléctrica ,2,1.467637201,1,452,25,0.567656819,0.432343181,0.740505276,0.053286599,-1.796966278,-0.015155931
01.1.01,Zona metropolitana de Aguascalientes,221122,Distribución de energía eléctrica ,1,0.175931273,0,452,25,0.535056638,0.464943362,0.740505276,-0.215916381,-1.796966278,-0.039534016
01.1.01,Zona metropolitana de Aguascalientes,221123,Comercialización de energía eléctrica ,8,1.158861582,1,452,21,0.565777428,0.434222572,0.740505276,0.006451433,-1.796966278,-0.019257259
01.1.01,Zona metropolitana de Aguascalientes,221210,Suministro de gas natural por ductos al consumidor final ,1,1.923110815,1,452,13,0.543417901,0.456582099,0.740505276,0.369685826,-1.796966278,0.038251129
01.1.01,Zona metropolitana de Aguascalientes,221311,"Captación, tratamiento y suministro de agua realizados por el sector privado ",7,1.190217974,1,452,16,0.556735174,0.443264826,0.740505276,-0.545494638,-1.796966278,-0.057118579
01.1.01,Zona metropolitana de Aguascalientes,221312,"Captación, tratamiento y suministro de agua realizados por el sector público ",28,0.488906068,0,452,16,0.488995949,0.511004051,0.740505276,-0.281388409,-1.796966278,-0.040536556
01.1.01,Zona metropolitana de Aguascalientes,236111,Edificación de vivienda unifamiliar ,87,1.923873349,1,452,27,0.577743061,0.422256939,0.740505276,0.387642886,-1.796966278,0.003972115
01.1.01,Zona metropolitana de Aguascalientes,236112,Edificación de vivienda multifamiliar ,14,1.475960285,1,452,19,0.567107684,0.432892316,0.740505276,0.436982379,-1.796966278,0.026897221
01.1.01,Zona metropolitana de Aguascalientes,236113,Supervisión de edificación residencial ,2,0.8201502,0,452,25,0.544566395,0.455433605,0.740505276,0.193539053,-1.796966278,-0.004250496
01.1.01,Zona metropolitana de Aguascalientes,236211,"Edificación de naves y plantas industriales, excepto la supervisión ",41,2.515488183,1,452,22,0.573649405,0.426350595,0.740505276,0.586372921,-1.796966278,0.025905233
01.1.01,Zona metropolitana de Aguascalientes,236212,Supervisión de edificación de naves y plantas industriales ,0,0,0,452,13,0.508928961,0.491071039,0.740505276,0.403689271,-1.796966278,0.042188137
01.1.01,Zona metropolitana de Aguascalientes,236221,"Edificación de inmuebles comerciales y de servicios, y otras edificaciones no residenciales, excepto la supervisión",48,1.423920348,1,452,25,0.570907547,0.429092453,0.740505276,0.154703303,-1.796966278,-0.011671221
01.1.01,Zona metropolitana de Aguascalientes,236222,"Supervisión de edificación de inmuebles comerciales y de servicios, y otras edificaciones no residenciales",0,0,0,452,20,0.536139211,0.463860789,0.740505276,0.126344884,-1.796966278,-0.007637859
01.1.01,Zona metropolitana de Aguascalientes,237111,"Construcción de obras para el tratamiento, distribución y suministro de agua y drenaje ",10,1.419089405,1,452,23,0.574221489,0.425778511,0.740505276,0.119823259,-1.796966278,-0.013024973
01.1.01,Zona metropolitana de Aguascalientes,237112,Construcción de sistemas de riego agrícola ,1,1.430005477,1,452,19,0.580264622,0.419735378,0.740505276,-0.329490096,-1.796966278,-0.043090693
01.1.01,Zona metropolitana de Aguascalientes,237113,"Supervisión de construcción de obras para el tratamiento, distribución y suministro de agua, drenaje y riego ",0,0,0,452,13,0.498104536,0.501895464,0.740505276,0.23788298,-1.796966278,0.021774928
